estimator,bias,variance
Beta-Binomial,-186817.75951057798,86763.1812233487
Chao1,-186821.72019652938,86759.38083890738
Chao2,-186821.763405747,86759.38862912696
Chao2_bc,-186822.18847606817,86759.10309906794
Chiu,-186850.4855012332,86764.81306054194
Exponential,6481599999806668.0,7380421129190926.0
Gamma,4592399999809183.0,7604011502671622.0
Gamma-Poisson,-186789.48557786428,86711.41748173245
Jackknife1,-186687.44309063893,86627.29819592055
Lanumteang-Bohning,-186823.0539307757,86780.84157914558
Negative Binomial,-186129.75948721272,81402.503272205
Poisson,-186850.8,81802.4730824197
Zipf-Mandelbrot,-186850.8,86764.6251516135
ztNB,-186789.48490645582,86711.4183454643
ztPoisson,-186850.8,86764.6251516135
