estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
Beta-Binomial (incidence-based),5,12996.240489422013,186817.75951057798,175337.64724805072,202294.72301903644,0.9285589652720034,0.9344926480715794,-186817.75951057798,0.07123865787957488
Chao1 (incidence-based),5,12992.279803470608,186821.7201965294,175341.7525773196,202297.07676590577,0.9285906436865273,0.9345355241201877,-186821.7201965294,0.07123865787957488
Chao2 (incidence-based),5,12992.236594252969,186821.763405747,175341.76483203383,202297.11934249787,0.9285908973246162,0.9345359156415416,-186821.763405747,0.07123865787957488
Chao2_bc (incidence-based),5,12991.811523931816,186822.18847606817,175342.05264275102,202297.41393164496,0.9285940271750264,0.9345420912383617,-186822.18847606817,0.07123865787957488
Chiu (incidence-based),5,12963.514498766812,186850.4855012332,175349.69072164947,202325.50546184529,0.9287590918531972,0.9347951826684378,-186850.4855012332,0.07123865787957488
Exponential (hit-count estimator),5,12963.200920267027,186850.79907973297,175349.99798845046,202325.73054388716,0.9287613371915567,0.9347990148192147,-186850.79907973297,0.07123865787957488
Exponential (incidence-frequency estimator),5,1.29632e+16,1.2963199999800186e+16,1.223599999976849e+16,1.3493308934229652e+16,71238657878.57489,65200982007.720825,1.2963199999800186e+16,0.07123865787957488
Gamma (hit-count estimator),5,14211.223045091849,185602.77695490816,173689.32513145858,201010.41083660777,0.9224267835038187,0.9311152328829313,-185602.77695490816,0.07123865787957488
Gamma (incidence-frequency estimator),5,9184800000003782.0,9184799999892966.0,1.223599999976849e+16,1.2093719824581144e+16,39151659129.85868,42819067855.72244,9184799999803970.0,0.07123865787957488
Gamma-Poisson (incidence-frequency estimator),5,13024.514422135733,186789.48557786428,175283.5027149957,202250.85379250246,0.9285019872984386,0.9347417745499509,-186789.48557786428,0.07123865787957488
Jackknife1 (incidence-based),5,13126.556909361068,186687.44309063893,175310.05943536403,202127.76266980372,0.928023436423333,0.934213615263113,-186687.44309063893,0.07123865787957488
Lanumteang-Bohning (incidence-based),5,12990.946069224301,186823.0539307757,175319.91693629592,202305.67231832462,0.9285635423566857,0.9344836636297154,-186823.0539307757,0.07123865787957488
Negative Binomial (hit-count estimator),5,14343.965932030358,185470.03406796962,173719.89337058348,200775.06960501085,0.922148439923598,0.9316493484491913,-185470.03406796962,0.07123865787957488
Negative Binomial (incidence-frequency estimator),5,13024.515093544172,186789.48490645582,175283.5027149957,202250.8534686684,0.9285019810192999,0.9347417725818397,-186789.48490645582,0.07123865787957488
Poisson (hit-count estimator),5,12963.2,186850.8,175350.0,202325.73144017052,0.9287613421204253,0.9347990179912792,-186850.8,0.07123865787957488
Poisson (incidence-frequency estimator),5,12963.2,186850.8,175350.0,202325.73144017052,0.9287613421204253,0.9347990179912792,-186850.8,0.07123865787957488
Zipf-Mandelbrot (coverage-frequency estimator),5,12963.2,186850.8,175350.0,202325.73144017052,0.9287613421204253,0.9347990179912792,-186850.8,0.07123865787957488
ztNB (incidence-frequency estimator),5,13024.515093544172,186789.48490645582,175283.5027149957,202250.8534686684,0.9285019810192999,0.9347417725818397,-186789.48490645582,0.07123865787957488
ztPoisson (incidence-frequency estimator),5,12963.2,186850.8,175350.0,202325.73144017052,0.9287613421204253,0.9347990179912792,-186850.8,0.07123865787957488
