subject,program_type,C,s,q
Jsoncpp,real_world,0.004552,0.258058,100.0
Libtiff,real_world,0.006186,0.479403,100.0
libxml2,real_world,0.001251,0.333993,100.0
Libpcap,real_world,0.004677,0.316369,100.0
Jasper,real_world,0.001658,0.274054,100.0
Freetype2,real_world,0.001157,0.270286,100.0
zlib,real_world,0.002238,0.058692,100.0
ParserA,synthetic,0.001218112162421,0.3074734066834577,100.0
ParserB,synthetic,0.0022830489847955,0.4374604819534937,100.0
ParserC,synthetic,0.0017113508754525,0.3401640752716308,100.0
ParserD,synthetic,0.003447767610687,0.4544406200499885,100.0
ParserE,synthetic,0.0033357705072248,0.4610004942252833,100.0

